Site,Latitude,Longitude,FileName
site1b,-29.56593446,-30.678028159894332,d13c_site1b_08_025']
site1b,-29.88117916,-29.676667771079387,d13c_site1b_08_027']
site1b,-29.6856315,-30.003644458637062,d13c_site1b_09_028']
site1b,-31.02254835,-30.41829554553796,d13c_site1b_09_030']
site1b,-28.38729772,-29.03482944062378,d13c_site1b_12_029']
site1b,-28.05521678,-28.525675735458304,d13c_site1b_12_035']
site1b,-29.30034527,-30.25101433787013,d13c_site1b_14_023']
site1b,-26.43279372,-27.76752775436193,d13c_site1b_14_053']
site1b,-29.93243923,-30.190716737939958,d13c_site1b_15_022']
site1b,-27.23498513,-27.080837119910413,d13c_site1b_16_041']
site1b,-28.88089644,-29.013316778478206,d13c_site1b_17_038']
site1b,-29.15211936,-29.349497299026268,d13c_site1b_17_042']
site1b,-29.93827117,-29.13643434065024,d13c_site1b_17_043']
site1b,-29.48879338,-28.055665317252906,d13c_site1b_17_045']
site1b,-27.46592887,-27.68987904482266,d13c_site1b_18_048']
site1b,-27.76116429,-27.293536379619702,d13c_site1b_18_051']
site1b,-30.22859139,-29.91480989789845,d13c_site1b_19_030']
site1b,-28.51255544,-27.519673807855483,d13c_site1b_19_048']
site1b,-28.49836058,-28.797396959907417,d13c_site1b_20_034']
site1b,-27.73515369,-28.05517791092223,d13c_site1b_21_036']
site1b,-29.59523422,-30.642561293873605,d13c_site1b_22_020']
site1b,-28.45023194,-29.701372118336117,d13c_site1b_22_021']
site1b,-29.69225651,-28.872586540437574,d13c_site1b_24_024']
site1b,-27.72962222,-28.034851352690687,d13c_site1b_24_039']
site1b,-27.27301489,-28.73249512202196,d13c_site1b_24_040']
site1b,-28.20104275,-29.198767981546602,d13c_site1b_24_058']
site1b,-27.69392891,-28.263975021826283,d13c_site1b_25_037']
site1b,-28.62943945,-27.52663777480101,d13c_site1b_25_076']
site1b,-27.74226877,-27.558046211583722,d13c_site1b_26_028']
site1b,-28.43181059,-28.598762971395868,d13c_site1b_26_029']
site1b,-27.99791208,-27.41112637213735,d13c_site1b_26_044']
site1b,-27.49048782,-28.269588467119576,d13c_site1b_26_045']
site1b,-28.60308174,-28.62612220122878,d13c_site1b_26_060']
site1b,-28.93480607,-29.424121016263648,d13c_site1b_26_061']
site1b,-28.75858846,-29.001619632360917,d13c_site1b_26_062']
site1b,-28.67433758,-30.058063522034857,d13c_site1b_27_020']
site1b,-28.30271632,-27.995434272016535,d13c_site1b_27_036']
site1b,-28.12481353,-27.95742613822484,d13c_site1b_27_041']
site1b,-27.87753293,-28.838142779769235,d13c_site1b_27_062']
site1b,-29.22092787,-29.424394909410417,d13c_site1b_28_018']
site1b,-26.92614086,-27.716309803260106,d13c_site1b_29_050']
site1b,-28.29612773,-28.141827563302964,d13c_site1b_29_052']
site1b,-30.12397426,-29.177220835814012,d13c_site1b_30_036']
site1b,-27.90964267,-28.051830671921387,d13c_site1b_30_052']
site1b,-27.50078517,-27.97965684523151,d13c_site1b_30_054']
site1b,-26.65179973,-26.70878168044105,d13c_site1b_30_082']
site1b,-27.2957574,-27.305956223913743,d13c_site1b_30_085']
site1b,-28.18264206,-27.013633726414724,d13c_site1b_31_037']
site1b,-28.15780968,-28.372248924205905,d13c_site1b_31_040']
site1b,-27.59108711,-28.080973088828383,d13c_site1b_31_055']
site1b,-28.45837995,-28.140466692225388,d13c_site1b_31_056']
site1b,-29.84837049,-28.620629700630836,d13c_site1b_32_024']
site1b,-28.9926871,-27.760503027288507,d13c_site1b_32_039']
site1b,-27.57491026,-28.49292394001776,d13c_site1b_33_043']
site1b,-27.51347436,-27.05236984261442,d13c_site1b_33_086']
site1b,-27.28777418,-27.08880121271781,d13c_site1b_33_087']
site1b,-26.76419728,-27.036808507292278,d13c_site1b_34_028']
site1b,-27.09999575,-26.960890142940748,d13c_site1b_34_075']
site1b,-27.49723115,-26.61402824133231,d13c_site1b_34_087']
site1b,-26.89332285,-27.618699131985395,d13c_site1b_36_049']
site1b,-27.65624086,-27.381729613459697,d13c_site1b_36_092']
site1b,-27.36643017,-27.79615386450112,d13c_site1b_37_015']
site1b,-27.59214379,-27.284364840612792,d13c_site1b_37_092']
site1b,-28.99255318,-28.27521459843876,d13c_site1b_38_018']
site1b,-29.46981684,-28.296633092986085,d13c_site1b_38_020']
site1b,-28.45901845,-28.468666547520648,d13c_site1b_38_024']
site1b,-27.73667275,-27.94453159038559,d13c_site1b_38_051']
site1b,-27.26418061,-27.95575958576267,d13c_site1b_38_094']
site1b,-28.31532913,-29.486633985065744,d13c_site1b_39_037']
site1b,-27.79366227,-28.062857990947187,d13c_site1b_39_096']
site1b,-28.38545434,-28.215483969576777,d13c_site1b_40_021']
site1b,-28.20661198,-28.17721147553616,d13c_site1b_40_023']
site1b,-29.35885554,-29.778517421016318,d13c_site1b_40_038']
site1b,-28.11846894,-29.23147517009366,d13c_site1b_40_040']
site1b,-28.26293793,-27.96448946833708,d13c_site1b_40_054']
site1b,-28.09373619,-28.233070197060144,d13c_site1b_40_055']
site1b,-28.92730514,-28.594051144180625,d13c_site1b_40_056']
site1b,-26.81215415,-27.864560308898163,d13c_site1b_41_025']
site1b,-27.91592058,-27.30951496977059,d13c_site1b_41_096']
site1b,-29.3908848,-27.665558141856668,d13c_site1b_42_027']
site2a,-28.75073182,-27.79409725072369,d13c_site2a_10_012']
site2a,-28.27799296,-28.183715555742552,d13c_site2a_10_014']
site2a,-28.93022241,-28.382228122212645,d13c_site2a_10_015']
site2a,-28.74663859,-27.82234689805182,d13c_site2a_10_016']
site2a,-28.47107729,-29.01477382856523,d13c_site2a_14_030']
site2a,-27.98056988,-28.68032086752203,d13c_site2a_14_031']
site2a,-28.25080681,-28.714328823578192,d13c_site2a_14_032']
site2a,-27.33520102,-28.707526361705135,d13c_site2a_15_025']
site2a,-28.59831181,-28.24135947289497,d13c_site2a_16_029']
site2a,-28.58030267,-28.87373160292836,d13c_site2a_16_030']
site2a,-28.2973163,-27.924049568698514,d13c_site2a_16_032']
site2a,-27.73537314,-28.083470646324358,d13c_site2a_17_014']
site2a,-27.08777305,-26.728564466670882,d13c_site2a_17_016']
site2a,-28.52047879,-27.778526960148383,d13c_site2a_17_018']
site2a,-28.1106036,-28.067322865582298,d13c_site2a_17_019']
site2a,-28.32182914,-27.683980937821048,d13c_site2a_17_020']
site2a,-27.76455746,-28.32813704120006,d13c_site2a_17_022']
site2a,-27.77728878,-27.958950317110133,d13c_site2a_18_030']
site2a,-27.6295459,-28.24773166987031,d13c_site2a_18_032']
site2a,-28.01094031,-27.582420032554978,d13c_site2a_19_014']
site2a,-28.50971921,-28.07365099006969,d13c_site2a_19_015']
site2a,-27.57250387,-26.911603376682244,d13c_site2a_19_016']
site2a,-27.4762257,-26.867487190449623,d13c_site2a_19_017']
site2a,-28.14567158,-27.65826971326174,d13c_site2a_19_018']
site2a,-28.38094146,-27.84754925219362,d13c_site2a_19_021']
site2a,-28.27133609,-28.44891118110059,d13c_site2a_19_022']
site2a,-28.17772054,-28.23955585787904,d13c_site2a_19_024']
site2a,-29.66921104,-28.676121711791343,d13c_site2a_19_027']
site2a,-28.66610878,-29.589034672307108,d13c_site2a_19_028']
site2a,-28.62425855,-27.90218652214201,d13c_site2a_19_030']
site2a,-28.78694931,-27.956314793670096,d13c_site2a_19_031']
site2a,-27.92941902,-28.229891874782787,d13c_site2a_19_032']
site2a,-28.69816199,-27.775516754032836,d13c_site2a_20_009']
site2a,-28.53394865,-28.315735287910073,d13c_site2a_20_011']
site2a,-28.73800358,-28.01430354735262,d13c_site2a_20_013']
site2a,-27.57377072,-28.09104763830519,d13c_site2a_20_014']
site2a,-27.50658092,-28.09909043776035,d13c_site2a_20_015']
site2a,-26.87326907,-26.959796531712776,d13c_site2a_20_016']
site2a,-27.79154911,-27.033413163384942,d13c_site2a_20_017']
site2a,-27.32929564,-27.338226660824823,d13c_site2a_20_019']
site2a,-27.44896969,-27.915448688366745,d13c_site2a_20_020']
site2a,-27.61048121,-27.393796933065058,d13c_site2a_20_022']
site2a,-28.152093,-27.34530820856772,d13c_site2a_20_023']
site2a,-28.4921981,-27.463953042684597,d13c_site2a_21_026']
site2a,-28.46094252,-27.54865391309548,d13c_site2a_21_027']
site2a,-29.10596521,-28.089360090994965,d13c_site2a_21_030']
site2a,-27.26184733,-27.03670673294715,d13c_site2a_21_032']
site2a,-27.91304968,-27.772040665921107,d13c_site2a_21_033']
site2a,-27.33873096,-27.11348471464443,d13c_site2a_22_012']
site2a,-27.70369192,-27.55788754294232,d13c_site2a_22_014']
site2a,-27.59777273,-27.224131723500548,d13c_site2a_22_015']
site2a,-27.18753204,-26.881016709401962,d13c_site2a_22_016']
site2a,-27.9670096,-27.645402737170887,d13c_site2a_22_018']
site2a,-26.68051941,-26.820948956606518,d13c_site2a_22_019']
site2a,-27.60798712,-26.869216234837616,d13c_site2a_22_020']
site2a,-27.77420525,-27.58087491037254,d13c_site2a_22_021']
site2a,-27.24617671,-26.769602424210923,d13c_site2a_22_022']
site2a,-26.81901981,-27.791090806866343,d13c_site2a_22_024']
site2a,-27.74203151,-27.58900009681616,d13c_site2a_22_025']
site2a,-28.63296465,-29.858936576484233,d13c_site2a_23_029']
site2a,-28.77592181,-27.73515497563931,d13c_site2a_23_031']
site2a,-27.77224786,-27.358891323813594,d13c_site2a_23_032']
site2a,-27.40451086,-27.775935103603103,d13c_site2a_24_014']
site2a,-27.79578582,-27.29748767093851,d13c_site2a_24_015']
site2a,-27.88871373,-27.55577057179167,d13c_site2a_24_024']
site2a,-27.57281756,-27.549331705446022,d13c_site2a_24_025']
site2a,-28.61208205,-28.950197743301555,d13c_site2a_24_027']
site2a,-29.51263314,-30.425243495069424,d13c_site2a_24_030']
site2a,-28.56557928,-27.88432582362544,d13c_site2a_24_031']
site2a,-27.75511184,-28.24413805073003,d13c_site2a_26_012']
site2a,-28.04725977,-28.35949399337648,d13c_site2a_26_013']
site2a,-27.74199778,-27.91000689098889,d13c_site2a_26_014']
site2a,-27.43741648,-27.833718216951233,d13c_site2a_26_015']
site2a,-27.28414971,-27.51675527793371,d13c_site2a_26_017']
site2a,-28.17725478,-28.10022417187308,d13c_site2a_26_019']
site2a,-27.59935789,-27.448937550161148,d13c_site2a_26_020']
site2a,-27.08225114,-27.317781385637563,d13c_site2a_26_022']
site2a,-27.94941993,-27.060071982923205,d13c_site2a_26_023']
site2a,-27.60984288,-27.877738248135877,d13c_site2a_26_024']
site2a,-29.50855885,-29.870084151008793,d13c_site2a_26_030']
site2c,-29.25771612,-28.210947176606584,d13c_site2c_07_015']
site2c,-29.20665179,-28.912194047356998,d13c_site2c_07_016']
site2c,-29.78476242,-28.897987447293517,d13c_site2c_07_021']
site2c,-28.32628001,-28.739739662732095,d13c_site2c_08_015']
site2c,-27.97838918,-29.025433313262962,d13c_site2c_08_016']
site2c,-28.76504108,-28.95129542685286,d13c_site2c_08_020']
site2c,-28.38177927,-29.076140252703045,d13c_site2c_09_016']
site2c,-29.06891163,-29.128891888940935,d13c_site2c_09_017']
site2c,-28.97199732,-28.86673478905133,d13c_site2c_09_021']
site2c,-27.90991983,-28.659381867445788,d13c_site2c_10_014']
site2c,-29.04627347,-28.861650321560553,d13c_site2c_10_016']
site2c,-28.82402912,-28.69744651163802,d13c_site2c_10_017']
site2c,-27.64806289,-28.63319591091524,d13c_site2c_10_019']
site2c,-28.17959635,-29.291578070644277,d13c_site2c_10_021']
site2c,-28.48977937,-28.10595262185781,d13c_site2c_11_012']
site2c,-27.76903868,-29.390435406478144,d13c_site2c_11_014']
site2c,-27.99221986,-28.84736922552215,d13c_site2c_11_016']
site2c,-26.96587004,-27.65091713864662,d13c_site2c_11_021']
site2c,-28.28030876,-28.52569033369415,d13c_site2c_12_013']
site2c,-29.53354158,-29.150723355286416,d13c_site2c_12_016']
site2c,-29.27070513,-28.452832961583855,d13c_site2c_12_017']
site2c,-27.62024728,-28.32697703510996,d13c_site2c_12_022']
site2c,-27.85407947,-28.150783093119134,d13c_site2c_13_013']
site2c,-28.77681052,-28.703164060737688,d13c_site2c_13_017']
site2c,-28.77681052,-28.69192776599194,d13c_site2c_13_018']
site2c,-29.67352423,-29.183463964975765,d13c_site2c_13_020']
site2c,-28.68730253,-28.17459348406042,d13c_site2c_13_022']
site2c,-28.08306873,-28.341937513780245,d13c_site2c_13_023']
site2c,-28.32288644,-28.140743805794855,d13c_site2c_14_013']
site2c,-29.37203311,-29.09531800937587,d13c_site2c_14_015']
site2c,-28.06754185,-28.649748861227984,d13c_site2c_14_017']
site2c,-28.79152208,-30.012480330420882,d13c_site2c_14_018']
site2c,-28.28495209,-27.665477539565515,d13c_site2c_14_020']
site2c,-27.43302859,-28.372945231757505,d13c_site2c_14_022']
site2c,-28.29351715,-28.296285106523662,d13c_site2c_14_023']
site2c,-28.84056446,-29.019036161984403,d13c_site2c_15_013']
site2c,-29.72054809,-29.178897169834563,d13c_site2c_15_015']
site2c,-28.29251788,-29.227193862142265,d13c_site2c_15_017']
site2c,-28.80399425,-30.13884835929714,d13c_site2c_15_018']
site2c,-27.99871438,-28.084837126732566,d13c_site2c_15_022']
site2c,-28.09990204,-28.374741610638154,d13c_site2c_15_023']
site2c,-29.31915066,-29.25860315943814,d13c_site2c_16_016']
site2c,-28.63247387,-29.10382206315502,d13c_site2c_16_019']
site2c,-27.9937365,-27.91021773947172,d13c_site2c_16_023']
site2c,-28.20575183,-27.746623972449257,d13c_site2c_17_014']
site2c,-28.33369255,-29.03759828398531,d13c_site2c_17_016']
site2c,-29.61999233,-29.21984903310186,d13c_site2c_17_018']
site2c,-28.14519023,-28.545765342108588,d13c_site2c_17_021']
site2c,-27.39174002,-28.005483479382313,d13c_site2c_17_024']
site2c,-28.76608573,-28.827377467375804,d13c_site2c_18_014']
site2c,-29.14168145,-28.288031284036336,d13c_site2c_18_018']
site2c,-28.56004718,-28.34588108709486,d13c_site2c_18_019']
site2c,-27.89584909,-28.11417145137389,d13c_site2c_18_023']
site2c,-28.55511357,-27.95577000366221,d13c_site2c_18_024']
site2c,-27.5977323,-27.7594080019394,d13c_site2c_19_019']
site2c,-29.60641684,-28.493108116072136,d13c_site2c_19_020']
site2c,-29.14701207,-27.983495318524103,d13c_site2c_19_024']
site2c,-28.66126086,-27.94541549642799,d13c_site2c_19_025']
site2c,-28.29779485,-29.31199264358421,d13c_site2c_20_015']
site2c,-28.71382223,-28.53519583656935,d13c_site2c_20_017']
site2c,-28.61983783,-28.527441769089037,d13c_site2c_20_019']
site2c,-28.25709368,-28.45426319070134,d13c_site2c_20_020']
site2c,-29.29849687,-27.808697175437615,d13c_site2c_20_025']
site2c,-28.7495381,-29.632911695740603,d13c_site2c_21_015']
site2c,-27.75691351,-28.373229493639485,d13c_site2c_21_017']
site2c,-28.77838809,-28.711934203218604,d13c_site2c_21_019']
site2c,-28.87233229,-28.579252490181094,d13c_site2c_21_020']
site2c,-29.03537118,-29.035933970930298,d13c_site2c_21_024']
site2c,-28.86549324,-29.10380594381536,d13c_site2c_21_025']
site2c,-29.00583519,-29.314151032141563,d13c_site2c_22_020']
site2c,-28.50385198,-28.397655913798097,d13c_site2c_22_021']
site2c,-28.33511244,-27.92689574084439,d13c_site2c_22_024']
site2c,-29.05316531,-28.755036682093937,d13c_site2c_22_025']
site2c,-28.05061703,-28.312563129008147,d13c_site2c_22_026']
site2c,-29.56218621,-29.115682253331112,d13c_site2c_23_020']
site2c,-29.27923906,-28.80926067061274,d13c_site2c_23_021']
site2c,-27.69338959,-27.745257902586978,d13c_site2c_23_025']
site2c,-27.44184947,-27.81005394751573,d13c_site2c_23_026']
site2c,-28.69832244,-29.49674954654102,d13c_site2c_24_020']
site2c,-26.94108454,-28.91895704962788,d13c_site2c_24_023']
site6,-28.42615161,-27.48388869747774,d13c_site6_19_037']
site6,-30.36890313,-30.88703400011932,d13c_site6_20_036']
site6,-29.159592,-29.73795744263144,d13c_site6_21_034']
site6,-30.27798428,-30.488256025197792,d13c_site6_21_035']
site6,-28.27257285,-28.985555811153638,d13c_site6_22_034']
site6,-29.06355202,-29.9703667517553,d13c_site6_22_038']
site6,-30.51595462,-29.74992436763435,d13c_site6_23_033']
site6,-30.1046814,-29.790256858012377,d13c_site6_23_038']
site6,-29.44701703,-29.209956662350997,d13c_site6_24_032']
site6,-29.97253952,-30.507347405629865,d13c_site6_24_037']
site6,-29.82595734,-30.354648994788015,d13c_site6_25_031']
site6,-28.54825883,-28.20229402568497,d13c_site6_25_036']
site6,-29.92826332,-30.223874264110535,d13c_site6_26_030']
site6,-29.69569863,-29.852058352625093,d13c_site6_26_031']
site6,-29.57599826,-28.427616477977544,d13c_site6_26_035']
site6,-29.60148347,-29.11637693261169,d13c_site6_27_034']
site6,-29.4139953,-30.068035152485784,d13c_site6_28_033']
site6,-28.8440633,-30.31141864029041,d13c_site6_29_032']
site6,-28.59495114,-28.199717425875914,d13c_site6_30_031']
site6,-29.41790838,-29.336131241597176,d13c_site6_31_031']
site6,-28.2247125,-27.799755078200214,d13c_site6_32_029']
site6,-30.19195855,-31.5963734795114,d13c_site6_32_030']
site6,-28.77891277,-27.864979029483763,d13c_site6_33_029']
site6,-30.55777329,-32.914694133894166,d13c_site6_34_028']
site6,-31.27568108,-32.713342648223325,d13c_site6_35_027']
site6,-29.36948261,-29.591926278921125,d13c_site6_36_026']
site6,-30.2634214,-29.05417737806221,d13c_site6_37_025']
site6,-29.11007786,-27.682653910461024,d13c_site6_38_024']
site6,-30.25384452,-31.501760377457806,d13c_site6_39_023']
site6,-30.23504102,-32.06151728147497,d13c_site6_40_022']
site6,-29.1125891,-30.30300395431813,d13c_site6_40_023']
site6,-28.98448893,-28.163405329044835,d13c_site6_40_024']
site6,-31.16215209,-32.13428087947872,d13c_site6_41_021']
site6,-31.18264774,-32.005990929838894,d13c_site6_41_022']
site6,-28.85486711,-28.074061265087998,d13c_site6_41_023']
site6,-28.83740722,-28.129197040318317,d13c_site6_42_021']
site6,-29.74341899,-30.16129271049696,d13c_site6_42_022']
site6,-30.25827049,-31.65430985725594,d13c_site6_43_019']
site6,-29.07869993,-31.304381366922847,d13c_site6_43_020']
site6,-29.04378006,-28.596639400046808,d13c_site6_43_021']
site6,-28.38956978,-28.88954607194254,d13c_site6_44_018']
site6,-28.11942623,-29.149282679799892,d13c_site6_44_019']
site6,-28.14184517,-29.554392913987698,d13c_site6_44_020']
site6,-28.3242602,-29.122672668970253,d13c_site6_44_021']
site6,-28.07941458,-28.67851224795391,d13c_site6_45_018']
site6,-28.44476766,-28.568622437450927,d13c_site6_45_019']
site6,-29.15389552,-28.746218623110607,d13c_site6_45_020']
site6,-28.98947018,-28.779355346431423,d13c_site6_46_016']
site6,-30.29030309,-31.521287594650843,d13c_site6_46_017']
site6,-28.58473742,-29.158186024101262,d13c_site6_46_018']
site6,-28.4555084,-28.295634837906874,d13c_site6_46_019']
site6,-28.88595005,-28.700793378510873,d13c_site6_47_016']
site6,-30.09390211,-29.048481964430092,d13c_site6_47_017']
site6,-28.76158803,-28.242050565903504,d13c_site6_47_018']
site6,-28.32950414,-28.741685196131428,d13c_site6_48_014']
site6,-27.77453075,-28.51832297470419,d13c_site6_48_015']
site6,-28.12335603,-28.99754214392271,d13c_site6_48_016']
site6,-29.19179494,-28.767702610731718,d13c_site6_48_017']
site6,-29.08011107,-28.734920966365518,d13c_site6_49_013']
site6,-28.64500692,-28.302287819440792,d13c_site6_49_014']
site6,-27.90430999,-27.50609717375247,d13c_site6_49_015']
site6,-29.11794754,-29.83968176893601,d13c_site6_49_016']
site6,-29.35809779,-29.14139356645343,d13c_site6_50_013']
site6,-28.71170107,-28.371529476784644,d13c_site6_50_014']
site6,-29.90496872,-29.053968222332664,d13c_site6_50_015']
site6,-29.22738264,-28.951745655390724,d13c_site6_51_012']
site6,-29.47155596,-27.737252601719966,d13c_site6_51_013']
site6,-29.39346317,-29.110220758335235,d13c_site6_51_014']
site6,-30.79326332,-31.852747206608726,d13c_site6_52_011']
site6,-28.79481633,-27.40074530196229,d13c_site6_52_012']
site6,-29.3343195,-27.953919702052225,d13c_site6_52_013']
site6,-29.60087259,-29.797840812996185,d13c_site6_53_010']
site6,-30.38884647,-32.49020442598042,d13c_site6_53_011']
site6,-29.78461051,-29.9256710407467,d13c_site6_53_012']
site6,-27.88552558,-28.599074589019857,d13c_site6_54_009']
site6,-27.94437702,-28.15834282700976,d13c_site6_54_010']
site6,-28.81339274,-28.37271371617422,d13c_site6_54_011']
site6,-27.81041881,-27.54914631145548,d13c_site6_54_012']
site6,-27.50908644,-28.719835131785196,d13c_site6_55_008']
site6,-27.46160565,-27.4954992914696,d13c_site6_55_009']
site6,-27.47746756,-27.451352898544666,d13c_site6_55_010']
site6,-28.56971465,-28.140980769059283,d13c_site6_56_008']
site6,-28.5097368,-28.384686613937383,d13c_site6_56_009']
site6,-29.21339841,-28.047684442955724,d13c_site6_56_010']
